teff_0,logg_0,teff_0.5,logg_0.5,teff_-0.5,logg_-0.5
3.663784626,4.611610509,3.612319595,4.64089847,3.65068847,4.6926953
3.667507533,4.606872345,3.615821019,4.636450889,3.654708412,4.686796815
3.671129301,4.602168477,3.619500639,4.631761581,3.658595396,4.682188148
3.674824945,4.597271074,3.623059729,4.627207511,3.662379039,4.678876823
3.678504595,4.592301204,3.626506907,4.622779271,3.66633779,4.675413096
3.682091628,4.587342259,3.630039476,4.618259248,3.670155289,4.672072402
3.68571967,4.582206819,3.633644472,4.613615946,3.673942291,4.668753726
3.689317763,4.577006533,3.637191191,4.609020857,3.677946332,4.665036403
3.692858947,4.571744256,3.640753436,4.604380652,3.681827091,4.661415309
3.696426071,4.566307155,3.644191042,4.599876724,3.68558079,4.657899917
3.699934068,4.560823472,3.647758699,4.595160407,3.689485553,4.652893108
3.703415482,4.555202383,3.651343704,4.590388302,3.693411999,4.647165702
3.706891842,4.549456645,3.654813663,4.585736556,3.697187586,4.641543844
3.710344136,4.543527751,3.658265161,4.581075062,3.700951171,4.63580836
3.713747155,4.537520755,3.661858632,4.576154388,3.704834119,4.629756405
3.717145723,4.531286451,3.665319681,4.571346591,3.708573453,4.623787962
3.720476248,4.524986772,3.668653457,4.56664646,3.712314257,4.617646844
3.723813843,4.518396086,3.672160232,4.561638436,3.716090013,4.611311417
3.727078493,4.511730464,3.675576385,4.556712039,3.719785612,4.604903555
3.730332972,4.504780544,3.678405969,4.552157758,3.723483758,4.598306338
3.733508495,4.497600572,3.681161645,4.547439144,3.727167248,4.591494365
3.736566554,4.490187044,3.683805934,4.542828592,3.730768157,4.584626526
3.737675572,4.487399349,3.68647135,4.538045556,3.73441605,4.577395936
3.738764947,4.484625645,3.689099954,4.533212986,3.737951448,4.570151035
3.739835254,4.481865451,3.691675029,4.528367298,3.741528592,4.562489619
3.740888336,4.479112748,3.694331769,4.523177296,3.745012923,4.554725193
3.741955749,4.47623224,3.69702021,4.517712339,3.748479646,4.546678209
3.743004206,4.47336507,3.699576429,4.512368961,3.751908286,4.538327729
3.744015231,4.470479156,3.701971487,4.507273208,3.755289035,4.529709774
3.744804529,4.467199231,3.70300288,4.505008158,3.758610494,4.520829445
3.745596287,4.463833517,3.704433809,4.501510184,3.761876624,4.511658337
3.746376098,4.460484808,3.706081584,4.497285595,3.763007102,4.508363229
3.747144225,4.457152677,3.707676753,4.493138065,3.76411635,4.505083401
3.747916356,4.453713897,3.709262696,4.488916532,3.765205013,4.50181826
3.74868005,4.450266539,3.710340896,4.485887845,3.766287764,4.498494697
3.749432283,4.446835923,3.711093502,4.483669184,3.767355988,4.495105184
3.750181121,4.443346043,3.711837491,4.48145981,3.768386625,4.491722184
3.750925975,4.439801237,3.712579316,4.479228524,3.769402921,4.488322403
3.751659592,4.436273097,3.713334853,4.476900759,3.770418899,4.484820006
3.752387587,4.432709897,3.714081976,4.474583138,3.771416558,4.481329906
3.753113003,4.429075208,3.714820787,4.472275528,3.772398148,4.477837676
3.753827314,4.425456599,3.715556352,4.46995138,3.77337916,4.474238923
3.754535223,4.421800878,3.716303858,4.467528634,3.774342748,4.470650095
3.75523898,4.418076363,3.71714027,4.464565445,3.77529103,4.467051377
3.755931866,4.414367483,3.717974525,4.461557089,3.776234226,4.463349357
3.75661924,4.410602585,3.718806671,4.458499709,3.777160209,4.459657826
3.757300182,4.406791823,3.719639727,4.455372347,3.778069366,4.455930781
3.757970972,4.402989567,3.720458992,4.452264067,3.778764443,4.452034666
3.758636331,4.399108612,3.721264898,4.4491735,3.779450925,4.448151178
3.759297786,4.39514875,3.722076212,4.44596497,3.780133351,4.444198982
3.759951823,4.391153592,3.722875926,4.442759134,3.780810159,4.440209046
3.760599421,4.387075695,3.723662177,4.43957189,3.781479281,4.436219209
3.761236408,4.383009521,3.724446001,4.436322001,3.782144975,4.432141008
3.761864953,4.37888129,3.72522433,4.433027243,3.782802764,4.428059288
3.76248381,4.374728958,3.725989162,4.429723796,3.783454912,4.423930191
3.763092843,4.370555646,3.726746777,4.426376737,3.784102331,4.419754503
3.763685732,4.366364267,3.727499737,4.422960499,3.784742521,4.415561827
3.764266872,4.362193766,3.728239326,4.41956283,3.785376498,4.411303921
3.76483889,4.357937011,3.728970614,4.416129012,3.786003376,4.407030559
3.765400992,4.35368703,3.729695988,4.412629352,3.786624747,4.402698391
3.765951389,4.349358997,3.730409554,4.409127763,3.787239415,4.398335195
3.766518869,4.344511228,3.73111672,4.405535636,3.787846619,4.39392858
3.767076297,4.339486992,3.731813345,4.40189957,3.788446596,4.389469572
3.767615895,4.33446755,3.732495906,4.398284924,3.789039253,4.384977743
3.768133214,4.329437424,3.733167782,4.394320059,3.789624473,4.380435092
3.768629747,4.324438654,3.733825497,4.390286377,3.790202267,4.375856628
3.769103952,4.319414767,3.734469629,4.386237259,3.790773277,4.371213579
3.769559524,4.31440938,3.735101852,4.382118602,3.79134336,4.366454303
3.769978138,4.309462081,3.73571935,4.378024933,3.791903778,4.361648059
3.77033767,4.304895185,3.736320017,4.373829195,3.792454815,4.356806483
3.770672757,4.300282315,3.736905643,4.369570125,3.792994718,4.351909143
3.770990559,4.29565542,3.737473322,4.364968496,3.79352531,4.346988038
3.77129094,4.291005112,3.738011998,4.360433419,3.794043304,4.341996953
3.771576193,4.286325384,3.738520442,4.355963118,3.794551753,4.33699167
3.771853433,4.281584443,3.739009548,4.351480889,3.795044988,4.331911329
3.77212365,4.276807739,3.739480179,4.346982937,3.795524445,4.326828672
3.772391763,4.27199259,3.739937807,4.34245948,3.795990255,4.321688573
3.772649448,4.267276967,3.740385522,4.337920309,3.796440854,4.31647511
3.772889673,4.262729547,3.740827634,4.333368953,3.796879118,4.311227075
3.77313009,4.258100487,3.741266803,4.328773263,3.797296704,4.305920715
3.773368103,4.253401872,3.741700721,4.32413104,3.797725154,4.300094942
3.773598581,4.248616957,3.742028293,4.313946262,3.79813951,4.294116369
3.773822659,4.243748743,3.742430457,4.308796569,3.798526743,4.28809853
3.774034951,4.238759667,3.742780191,4.303928579,3.798890886,4.282069478
3.774241869,4.233695353,3.743050651,4.299674175,3.799232967,4.276036883
3.774439881,4.228554934,3.743296079,4.295115874,3.7995546,4.269994115
3.774623238,4.223316616,3.743526646,4.290404396,3.799857128,4.263946475
3.774797806,4.218014726,3.743747781,4.28563338,3.800143905,4.257909038
3.774960335,4.212503122,3.743950289,4.280382499,3.800415382,4.251868196
3.775107844,4.206910533,3.74417334,4.275106426,3.800671548,4.245830376
3.775236739,4.201254652,3.744448389,4.27004052,3.800913178,4.239870626
3.775345454,4.195530264,3.744780121,4.265231518,3.801140434,4.233867418
3.775443748,4.189774636,3.745137499,4.260436778,3.801353068,4.227819095
3.775524276,4.183963359,3.74552551,4.255275016,3.801548514,4.221724691
3.775583076,4.178091244,3.745908417,4.250140223,3.801725562,4.215634937
3.775621354,4.17216883,3.746282244,4.244997193,3.801881111,4.209524849
3.775646834,4.166216649,3.746644617,4.239824772,3.802020315,4.203374135
3.775643809,4.160188188,3.746990553,4.234585868,3.802140734,4.197180855
3.77562697,4.154136468,3.747324832,4.229315806,3.80224023,4.190939392
3.775585952,4.147910027,3.747642337,4.22398712,3.80231926,4.18465497
3.775526485,4.141672041,3.745301751,4.142539511,3.802378361,4.178332916
3.775446125,4.135408305,3.746353753,4.138603839,3.802412689,4.17195976
3.775339998,4.129121639,3.747356507,4.13457273,3.802427287,4.165554231
3.775209071,4.122802646,3.748306236,4.130433148,3.802418109,4.159107034
3.775059199,4.11644395,3.749193,4.126175742,3.802387446,4.152626375
3.774879397,4.110037864,3.750010837,4.121806084,3.802333097,4.146105893
3.774678189,4.103617079,3.750743197,4.117376491,3.80225424,4.139557072
3.774453036,4.097199058,3.751381562,4.112958769,3.802150308,4.132967669
3.774195841,4.090753775,3.75192314,4.10867061,3.802024456,4.126348058
3.773923195,4.084344008,3.752338611,4.104673896,3.801872568,4.119679117
3.773627024,4.077955856,3.75263386,4.101095163,3.801695832,4.112978039
3.773304404,4.071581301,3.752780089,4.098226901,3.801495876,4.106254542
3.772954971,4.065223871,3.75279412,4.096090021,3.801266913,4.099497052
3.772582406,4.058863222,3.752685645,4.094605915,3.801013196,4.092709425
3.772178447,4.052511089,3.752473925,4.093404507,3.800736363,4.085888988
3.771754103,4.046199697,3.752113406,4.092126549,3.800434484,4.07903478
3.771308473,4.039926479,3.751606003,4.089931037,3.800113359,4.072222671
3.770843991,4.033739002,3.751015939,4.086033762,3.799781272,4.065666321
3.770366789,4.027814137,3.750406227,4.081040977,3.799423579,4.059076497
3.769858622,4.021954461,3.74978203,4.075946184,3.799043269,4.052482208
3.769332004,4.016134376,3.749134418,4.071211802,3.798637926,4.045858684
3.768780689,4.010321234,3.748488349,4.066397555,3.798201162,4.039202312
3.768201749,4.004530496,3.747817952,4.060581817,3.797743666,4.032543266
3.766042249,3.985001393,3.7471274,4.053548093,3.797258374,4.025860306
3.763635584,3.966084863,3.746412786,4.045828103,3.796747713,4.019163697
3.761043753,3.948171729,3.745650412,4.037813449,3.796210288,4.012448017
3.758260813,3.931359948,3.744828155,4.029720784,3.795647681,4.005735692
3.755310806,3.915796463,3.743951852,4.021878509,3.795067626,3.999254357
3.752208656,3.901483527,3.743055109,4.014738949,3.794460237,3.992780184
3.748963142,3.88840159,3.74209915,4.007856471,3.793827514,3.986292454
3.745595027,3.876416852,3.739561852,3.99166813,3.793167062,3.979796338
3.742133032,3.865388322,3.736853334,3.976484746,3.79248275,3.973285784
3.738582428,3.855095033,3.734037164,3.962648689,3.79014194,3.952590947
3.734953501,3.845237105,3.73111754,3.950243038,3.787570756,3.932125532
3.731249562,3.835544539,3.728015966,3.938938905,3.784795729,3.912069885
3.727472505,3.825605209,3.724864374,3.929029797,3.781812255,3.892524457
3.723621093,3.814980045,3.721629673,3.920112668,3.778661384,3.873677351
3.719701854,3.803124399,3.7183042,3.911789454,3.77538837,3.855717818
3.715739248,3.789369335,3.714908069,3.903776857,3.771973058,3.838558659
3.711785137,3.773021115,3.711414482,3.895824567,3.768422687,3.822239279
3.707960362,3.753536419,3.707832609,3.887525202,3.764787074,3.806877371
3.704454931,3.730940769,3.704167701,3.878447826,3.761065509,3.792357349
3.701436005,3.706025605,3.700416778,3.868041596,3.757263754,3.778525766
3.698949074,3.679905117,3.69660327,3.855646515,3.753407658,3.765243015
3.696935344,3.653416628,3.69277295,3.840539473,3.749506132,3.752214574
3.695304312,3.626909883,3.6890486,3.822056265,3.745568696,3.739081838
3.693947604,3.600532215,3.685618119,3.800110006,3.741601024,3.725396997
3.692811549,3.574402051,3.682646248,3.775460826,3.737623003,3.710567373
3.691836077,3.548485877,3.680210737,3.749352157,3.733671775,3.693979836
3.690954451,3.522673051,3.678252107,3.722719679,3.729828399,3.675116479
3.690151169,3.4969702,3.676675153,3.696054376,3.726223053,3.653770974
3.689398184,3.471296987,3.675359121,3.669481611,3.723007697,3.630307703
3.688687435,3.4456698,3.674268503,3.643365327,3.720246204,3.605502797
3.68799101,3.419995483,3.673295044,3.617287435,3.717944385,3.580124204
3.687307146,3.394294974,3.672425074,3.591289157,3.716018599,3.554624961
3.686624176,3.368539005,3.671627137,3.565346229,3.714401731,3.529264064
3.685930141,3.34269098,3.670862373,3.539365967,3.713028456,3.504127189
3.685229522,3.316772346,3.670128521,3.51337491,3.711821968,3.479160374
3.684504805,3.290734708,3.669390465,3.487261048,3.710751045,3.45437122
3.68378022,3.264662308,3.668655496,3.461084399,3.709781409,3.429716665
3.683012251,3.238410967,3.667913439,3.434816593,3.708886708,3.405156868
3.682232321,3.212091619,3.667149143,3.408412492,3.70803893,3.380637777
3.681421167,3.185644332,3.666356231,3.381864215,3.707248776,3.356208297
3.6805948,3.159125079,3.665543679,3.355213116,3.706467855,3.331727226
3.679734568,3.132475884,3.664705444,3.328435859,3.705726585,3.307313695
3.678862199,3.105768279,3.663843073,3.301539812,3.70498757,3.282844307
3.677975216,3.078997672,3.662947471,3.274514116,3.704269718,3.258400685
3.67704333,3.052064622,3.662026296,3.247375669,3.703530676,3.233837602
3.676097084,3.025071985,3.661076809,3.22012419,3.702809884,3.209298309
3.675122682,2.997975038,3.660101087,3.192771699,3.70207746,3.184679651
3.674113895,2.970757807,3.659107806,3.165343261,3.701324169,3.159961518
3.673095239,2.943498114,3.658063873,3.137729435,3.700570585,3.135214449
3.672030146,2.916090479,3.657023172,3.110119306,3.699810637,3.110425921
3.670992381,2.888754788,3.655956509,3.082413917,3.699026816,3.085531907
3.669908998,2.861267477,3.654855087,3.054581921,3.698236709,3.060596731
3.668809549,2.833723192,3.653736186,3.026688718,3.697416397,3.035541189
3.667681992,2.806085085,3.652577758,2.998658037,3.696582495,3.010424647
3.666540714,2.778397651,3.651393137,2.970536514,3.695757128,2.985318531
3.66537093,2.750618903,3.650186008,2.942339066,3.694891745,2.960065358
3.664171058,2.722750604,3.648965508,2.914094361,3.694007202,2.934740437
3.662969588,2.694867521,3.647719847,2.885764982,3.693091081,2.909296534
3.661730103,2.666871071,3.646448629,2.857352425,3.69219769,2.883913285
3.660499532,2.638903252,3.645162375,2.828891627,3.691267546,2.858398011
3.659250947,2.610885984,3.643841215,2.800321001,3.690318806,2.832814122
3.657980001,2.582817354,3.642531452,2.771786741,3.689361955,2.807192975
3.656695444,2.554750183,3.641182331,2.743132681,3.688381915,2.781489424
3.655436382,2.526901035,3.639815779,2.714432405,3.687389676,2.75573934
3.655504259,2.523329899,3.638434742,2.685704179,3.68637561,2.729914312
3.657057418,2.552121863,3.637035794,2.656960609,3.685363891,2.704088208
3.658366259,2.576413403,3.635666664,2.628489382,3.684324435,2.678168768
3.65734861,2.552868684,3.636132405,2.63239075,3.68327264,2.65220974
3.656017791,2.524518412,3.637361508,2.65246963,3.682218164,2.626231288
3.654636708,2.496012511,3.636005433,2.625013744,3.681130642,2.600146545
3.653257043,2.467507216,3.634511388,2.595861784,3.680036358,2.574034975
3.651862384,2.438947652,3.633037512,2.566759871,3.678927492,2.547874951
3.650450955,2.410338235,3.631543571,2.537590424,3.677809615,2.521682914
3.649014664,2.381650693,3.630055757,2.508442303,3.676655103,2.495381069
3.64757421,2.352948128,3.628511271,2.479127157,3.67551171,2.469112507
3.646108217,2.324169587,3.626963764,2.449796704,3.674354528,2.442808256
3.64463752,2.29537147,3.625383895,2.420368015,3.673173095,2.41643846
3.643131914,2.266467883,3.623778521,2.39086296,3.671987166,2.390073107
3.64160598,2.237503356,3.622162021,2.361331726,3.670802405,2.363773669
3.640069342,2.20850686,3.620547087,2.33178592,3.669699966,2.338306479
3.638516041,2.179460931,3.618923186,2.302210106,3.670658646,2.353584075
3.636935225,2.150347291,3.61727745,2.27257223,3.672113641,2.380600616
3.635358696,2.121233174,3.615621817,2.242917276,3.67176961,2.370335301
3.63378304,2.092123204,3.61394892,2.21320463,3.670543362,2.343844389
3.632187563,2.062950956,3.612249645,2.183414221,3.669280125,2.317146817
3.630562176,2.033693725,3.610508857,2.153519425,3.667999965,2.290389716
3.628945609,2.004461234,3.608799284,2.123697553,3.666702857,2.26357687
3.627299941,1.975143676,3.607060173,2.093795674,3.665399752,2.236737161
3.625616111,1.945734824,3.605298492,2.063840619,3.664072014,2.209824342
3.623947393,1.916375606,3.603529589,2.033856023,3.662748864,2.182920931
3.622240676,1.886889823,3.601739858,2.003809806,3.661425394,2.156007699
3.620526426,1.857381117,3.599946555,1.973764459,3.660067507,2.128994037
3.618809093,1.827855935,3.598159566,1.943731217,3.658690584,2.101921486
3.617060747,1.798252325,3.596359677,1.913663835,3.657322351,2.074867195
3.615310797,1.768635684,3.594502938,1.883440157,3.655928558,2.047738335
3.613540679,1.738970814,3.592657894,1.853243537,3.654521438,2.020564675
3.611755419,1.709263304,3.590797763,1.823005876,3.653100124,1.99335471
3.609941436,1.679482919,3.588918417,1.792715984,3.651682727,1.966149226
3.608121773,1.649674358,3.587023652,1.762390935,3.650225719,1.938840589
3.606270153,1.619787421,3.585138133,1.732083515,3.648784119,1.911555699
3.604427049,1.589913122,3.583229584,1.701724773,3.64731166,1.884186219
3.602556234,1.559966548,3.581328437,1.671376886,3.645833176,1.856791202
3.600682958,1.529999039,3.579407483,1.640970403,3.644331995,1.82933418
3.59877683,1.499947815,3.577475481,1.61053237,3.642821481,1.801857727
3.596874274,1.469899017,3.575532107,1.580061716,3.641302574,1.774346685
3.594962577,1.439824545,3.573566756,1.549535615,3.639771097,1.746795309
3.593032208,1.409737372,3.571597329,1.51899602,3.638223807,1.719199001
3.591106691,1.37963839,3.569613335,1.488416838,3.636644406,1.691520651
3.589134698,1.349417172,3.567616198,1.457802711,3.635083175,1.663879842
3.587156023,1.319191169,3.565612288,1.427169832,3.633484578,1.63613297
3.585162201,1.288901535,3.563603526,1.396521757,3.63189762,1.608412504
3.583179778,1.258656002,3.561594947,1.36587248,3.63029038,1.580639347
3.581170056,1.228340111,3.55957646,1.335196507,3.628661369,1.55280862
3.57916516,1.198032939,3.557547759,1.304493398,3.627019732,1.52494301
3.577143553,1.167688755,3.555496619,1.273733277,3.625381703,1.497066291
3.575112308,1.137290234,3.553437033,1.242948096,3.623713305,1.469112964
3.573072568,1.106896897,3.55137359,1.212152925,3.622029808,1.441112958
3.571013391,1.076433855,3.549303397,1.181337122,3.620327036,1.413060116
3.568944131,1.045934101,3.547227219,1.15051441,3.61860316,1.384969856
3.566861652,1.015423717,3.545138124,1.119651212,3.616881184,1.356860965
3.564770202,0.984904529,3.543041557,1.088774629,3.6151249,1.328657326
3.562666158,0.954332433,3.540963571,1.057936381,3.613367103,1.300464576
3.560531178,0.923678829,3.538880855,1.027088224,3.611605037,1.272237595
3.558410924,0.893073753,3.536775947,0.996192194,3.609826288,1.243968045
3.556295603,0.862476876,3.53466866,0.965265251,3.608007454,1.215609343
3.554134095,0.831758407,3.532540891,0.93428832,3.606204798,1.187267584
3.552007052,0.801140276,3.530400224,0.903280416,3.604378908,1.158860479
3.549876716,0.77049928,3.528249614,0.872251346,3.602535013,1.130422583
3.547708234,0.739742797,3.526088472,0.841201445,3.600682697,1.101946568
3.545536459,0.708964403,3.523916799,0.810135429,3.598819654,1.073424957
3.543346229,0.678131031,3.521749996,0.779069016,3.596923536,1.044820318
3.541151969,0.647241488,3.519576768,0.747972828,3.595023616,1.016217557
3.538932563,0.616308908,3.5173805,0.716831047,3.593120097,0.98762141
3.536719494,0.585374141,3.515172954,0.685655185,3.591192689,0.958924497
3.534487375,0.55438273,3.512955557,0.654460932,3.589269194,0.930233865
3.532273738,0.52340223,3.510722167,0.623195909,3.587342576,0.901548012
3.530044063,0.492385217,3.508459589,0.591886602,3.585367445,0.87273766
3.527799689,0.461322504,3.506185035,0.560507012,3.583422453,0.843968651
3.525546508,0.430229026,3.503877102,0.529044939,3.581440958,0.815141802
3.523291525,0.399095603,3.501528129,0.497468476,3.579446603,0.786226243
3.521054945,0.368077685,3.499174551,0.465867612,3.577441821,0.757308237
3.51876411,0.336829971,3.496785551,0.434177017,3.575423161,0.728360044
3.516458845,0.305542283,3.494379223,0.402445285,3.573381841,0.69932108
3.514141112,0.274197313,3.491931007,0.370612227,3.571343616,0.67032552
3.51182304,0.242807021,3.489447617,0.338682635,3.569303375,0.641304477
3.50948188,0.211356039,3.486973095,0.30685978,3.567247093,0.612203306
3.507131137,0.179907472,3.484402956,0.274799714,3.565180317,0.583095668
3.504764199,0.148376847,3.481815727,0.242631888,3.563109471,0.553961051
3.502370756,0.116726274,3.479189309,0.21035134,3.561023992,0.524725484
3.499973708,0.085057721,3.476483803,0.177917388,3.558931296,0.495540083
3.497571219,0.053225259,3.473739334,0.145396902,3.556833067,0.46629213
3.497875542,0.057054237,3.470954236,0.112866807,3.554693776,0.436901001
3.513220819,0.24949937,3.468129368,0.080139276,3.552544787,0.407482798
3.531270126,0.482177136,3.46523848,0.047331713,3.550392568,0.378066901
3.54885003,0.714007812,3.462326773,0.014499636,3.54824629,0.348647585
3.566038992,0.944914396,3.459381478,0.018276668,3.546082766,0.319136054
3.58279471,1.174854835,3.456410846,0.051194747,3.543918476,0.289631325
3.598983985,1.403479543,3.45340097,0.084061612,3.541766598,0.260081765
3.614741476,1.63103911,3.453946301,0.07813553,3.539617667,0.230512948
3.629987925,1.85735632,3.474185969,0.139646835,3.537475415,0.200747112
3.644805454,2.082587615,3.494233397,0.377851737,3.537743726,0.204001816
3.657955691,2.303322114,3.512388665,0.612227733,3.548107888,0.335172772
3.654428243,2.283387252,3.529521726,0.844292771,3.564693081,0.547711116
3.641244867,2.06244721,3.546274662,1.075532151,3.58071531,0.759351528
3.627432582,1.839826339,3.562781707,1.306183902,3.596142323,0.969681677
3.624891996,1.793717852,3.578983079,1.536099335,3.610990046,1.178688632
3.63915325,2.008554293,3.594988022,1.765537831,3.625164723,1.386079172
3.652475198,2.228190237,3.610712111,1.994285654,3.638749513,1.59203528
3.639635478,2.022838373,3.6260399,2.222012967,3.65191252,1.796886997
3.645584256,2.104661293,3.638359748,2.441424816,3.664850232,2.001141606
3.659452644,2.326499591,3.626165928,2.263298094,3.676924171,2.203082438
3.651149016,2.191946581,3.611985057,2.038499282,3.684681927,2.373514944
3.665674796,2.406353338,3.598596904,1.831080127,3.675241253,2.226378475
3.662050024,2.340689556,3.609520853,1.987070942,3.664062256,2.026851269
3.661422545,2.346628872,3.62467111,2.214252433,3.653642557,1.845825379
